Date       ,Time    ,League                ,Season  ,Match Day ,home_team                                   ,away_team ,goal_minute ,team_side ,player_name                 ,goal_type
03/03/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       19 ,Express FC Vs KCCA FC                       ,          ,45          ,away      ,Julius Poloto               ,Penalty
03/03/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       19 ,Express FC Vs KCCA FC                       ,          ,56          ,away      ,Sadat Happy Anaku Ada       ,Regular
03/03/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       19 ,Express FC Vs KCCA FC                       ,          ,75          ,home      ,Joseph Akandwanaho          ,Regular
07/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,        9 ,BUL FC Vs Busoga United FC                  ,          ,23          ,home      ,Ibrahim Nsimbe              ,Regular
07/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,        9 ,BUL FC Vs Busoga United FC                  ,          ,28          ,home      ,Ibrahim Nsimbe              ,Regular
07/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,        9 ,BUL FC Vs Busoga United FC                  ,          ,44          ,home      ,Musa Esenu                  ,Regular
07/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,        9 ,BUL FC Vs Busoga United FC                  ,          ,53          ,home      ,Ibrahim Nsimbe              ,Regular
07/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,        9 ,BUL FC Vs Busoga United FC                  ,          ,58          ,home      ,Richard Wandyaka            ,Regular
07/05/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       28 ,URA FC Vs Soltilo Bright Stars FC           ,          ,9           ,home      ,Cromwel Rwothomio Abang     ,Regular
07/05/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       28 ,URA FC Vs Soltilo Bright Stars FC           ,          ,16          ,home      ,Shafik Kuchi Kagimu         ,Regular
07/05/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       28 ,URA FC Vs Soltilo Bright Stars FC           ,          ,33          ,home      ,Shafik Kuchi Kagimu         ,Regular
07/05/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       28 ,URA FC Vs Soltilo Bright Stars FC           ,          ,90+4        ,away      ,Joseph Janjali              ,Regular
30/11/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,        8 ,Onduparaka FC Vs Express FC                 ,          ,8           ,home      ,Shaban Mohammad Jagason     ,Regular
30/11/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,        8 ,Onduparaka FC Vs Express FC                 ,          ,27          ,away      ,Godfrey Lwesibawa           ,Regular
