Date,Time,League,Season,Match Day,home_team,away_team,goal_minute,team_side,player_name,goal_type
27/05/2023,3:00 pm,Uganda Premier League,2022/23,30,Vipers SC,Busoga United FC,14,home,Abubakar Lawal,Regular
27/05/2023,3:00 pm,Uganda Premier League,2022/23,30,Vipers SC,Busoga United FC,23,home,Yunus Junior Ssentamu,Regular
27/05/2023,3:00 pm,Uganda Premier League,2022/23,30,Vipers SC,Busoga United FC,54,home,Abubakar Lawal,Regular
27/05/2023,3:00 pm,Uganda Premier League,2022/23,30,Vipers SC,Busoga United FC,66,home,Martin Kizza,Regular
27/05/2023,3:00 pm,Uganda Premier League,2022/23,30,Vipers SC,Busoga United FC,73,home,Bright Anukani,Regular
29/11/2022,4:00 pm,Uganda Premier League,2022/23,10,KCCA FC,Gaddafi FC,2,home,Brian Majwega,Regular
29/11/2022,4:00 pm,Uganda Premier League,2022/23,10,KCCA FC,Gaddafi FC,45,away,Alex Kitata,Regular
29/11/2022,4:00 pm,Uganda Premier League,2022/23,10,KCCA FC,Gaddafi FC,79,home,Allan Okello,Regular
27/05/2023,3:00 pm,Uganda Premier League,2022/23,30,Arua Hill SC,Wakiso Giants FC,27,home,Ronald Media Innocent,Regular
18/11/2022,4:00 pm,Uganda Premier League,2022/23,8,Wakiso Giants FC,Gaddafi FC,43,home,Shariph Sheen Kimbowa,Penalty
18/11/2022,4:00 pm,Uganda Premier League,2022/23,8,Wakiso Giants FC,Gaddafi FC,77,home,Rahmat Kigongo Ssenfuka,Regular
16/05/2023,4:00 pm,Uganda Premier League,2022/23,28,Blacks Power FC,Gaddafi FC,4,home,Micheal Siwu Baggio,Regular
16/05/2023,4:00 pm,Uganda Premier League,2022/23,28,Blacks Power FC,Gaddafi FC,12,home,Dickens Okwir,Penalty
